Participant,Recording,start timestamp [ns],fixation_id,assigned_aoi,duration (ms)
30,1,1750415554180863048,188,right_eye,160
30,1,1750415566467389048,216,mouth,285
30,1,1750415567338141048,218,mouth,481
30,1,1750415567958768048,219,mouth,1036
30,1,1750415570926525048,223,mouth,2027
30,1,1750415573413782048,225,mouth,616
30,1,1750415575390661048,230,mouth,706
30,1,1750415576656915048,232,mouth,200
30,1,1750415576887043048,233,mouth,300
30,1,1750415580755678048,239,nose,1246
30,1,1750415585104811048,244,mouth,345
30,1,1750415587176691048,249,nose,150
30,1,1750415587356817048,250,mouth,731
30,1,1750415589373173048,253,mouth,1311
30,1,1750415591655294048,256,mouth,295
30,1,1750415595939292048,267,mouth,175
30,1,1750415596144542048,268,mouth,616
30,1,1750415597280542048,270,mouth,771
30,1,1750415600533666048,275,mouth,490
30,1,1750415603301164048,281,mouth,410
30,1,1750415606444165048,287,mouth,440
30,1,1750415610608036048,291,mouth,190
30,1,1750415610963286048,292,mouth,711
30,1,1750415613190410048,294,mouth,641
30,1,1750415616818784048,300,mouth,390
30,1,1750415617289158048,301,mouth,405
30,1,1750415617754658048,302,mouth,385
30,1,1750415618320158048,303,mouth,556
30,1,1750415619070907048,304,mouth,120
30,1,1750415619216033048,305,mouth,290
30,1,1750415623249781048,313,nose,516
30,1,1750415631507409048,325,mouth,410
30,1,1750415635771400048,330,mouth,375
30,1,1750415638604023048,335,mouth,285
30,1,1750415646086018048,346,mouth,205
30,1,1750415646466393048,348,mouth,516
30,1,1750415647011893048,349,mouth,380
30,1,1750415647417268048,350,mouth,2492
30,1,1750415654473890048,362,mouth,145
30,1,1750415654634013048,363,mouth,350
30,1,1750415654999263048,364,mouth,1261
30,1,1750415661295134048,377,mouth,215
30,1,1750415661535384048,378,mouth,881
30,1,1750415662566383048,379,mouth,340
30,1,1750415663787507048,382,mouth,1436
30,1,1750415665384006048,383,mouth,405
30,1,1750415665939506048,384,mouth,1111
30,1,1750415668101504048,387,mouth,185
30,1,1750415668306754048,388,mouth,215
30,1,1750415668551880048,389,mouth,631
30,1,1750415669332639048,390,mouth,2432
30,1,1750415671790006048,391,mouth,650
30,1,1750415672620767048,392,mouth,610
30,1,1750415673381376048,393,mouth,621
30,1,1750415674207250048,394,mouth,821
30,1,1750415675043000048,395,mouth,365
30,1,1750415678636382048,403,mouth,320
30,1,1750416450810790048,2192,mouth,160
30,1,1750416451951916048,2195,mouth,100
30,1,1750416471695304048,2229,mouth,135
30,1,1750416472040561048,2231,mouth,455
30,1,1750416472581185048,2232,nose,200
30,1,1750416472821313048,2233,mouth,1306
30,1,1750416498975699048,2271,mouth,265
30,1,1750416509980955048,2295,mouth,1231
30,1,1750416515701332048,2302,mouth,245
30,1,1750416550258471048,2377,mouth,210
30,1,1750416664970339048,2619,mouth,135
30,1,1750416746090967048,2780,mouth,550
30,1,1750417307163634048,4059,mouth,440
30,1,1750417307634010048,4060,mouth,315
30,1,1750417313594637048,4074,mouth,245
30,1,1750417313859887048,4075,mouth,586
30,1,1750417315816638048,4078,mouth,180
30,1,1750417368180519048,4200,left_eye,245
30,1,1750417464765377048,4404,mouth,556
30,1,1750417719943184048,5008,right_eye,480
30,1,1750417782331311048,5158,mouth,275
30,1,1750417898869891048,5417,right_eye,215
30,2,1750419211031261133,87,mouth,430
30,2,1750419213078131133,92,mouth,205
30,2,1750419444028625133,665,left_eye,335
30,2,1750419912770584133,1807,mouth,265
30,2,1750420080652050133,2179,mouth,806
30,2,1750420388253212133,2902,right_eye,170
30,2,1750420553862502133,3294,mouth,95
30,2,1750420553992627133,3295,mouth,245
30,2,1750420573145388133,3339,right_eye,110
30,2,1750420573270507133,3340,right_eye,90
30,2,1750421108409128133,4581,mouth,145
30,2,1750421228831245133,4877,mouth,110
30,2,1750421247493623133,4920,mouth,145
30,2,1750421247673873133,4921,mouth,180
36,2,1752495823581699400,725,mouth,170
36,2,1752495860436080400,826,mouth,165
36,2,1752496070006468400,1415,left_eye,100
36,2,1752496131688990400,1607,mouth,405
36,2,1752496259723387400,1891,right_eye,300
36,2,1752496297318513400,2006,right_eye,180
36,2,1752496702371155400,3039,left_eye,456
36,2,1752497059589250400,3888,left_eye,325
36,2,1752497059964625400,3889,right_eye,240
36,2,1752497377760927400,4591,left_eye,165
36,2,1752497380798807400,4596,left_eye,80
36,2,1752497380983928400,4597,left_eye,130
36,2,1752497382135053400,4601,left_eye,506
36,1,1752492751932825030,170,right_eye,125
36,1,1752492775780085030,206,nose,325
36,1,1752492776130460030,207,right_eye,335
36,1,1752492776490835030,208,left_eye,470
36,1,1752492777001212030,209,left_eye,235
36,1,1752492777261468030,210,left_eye,445
36,1,1752492780124211030,219,mouth,185
36,1,1752492781545461030,224,nose,486
36,1,1752492782055962030,225,nose,516
36,1,1752492782601462030,226,nose,255
36,1,1752492782881712030,227,right_eye,250
36,1,1752492783146962030,228,nose,120
36,1,1752492783317212030,229,left_eye,195
36,1,1752492783552349030,230,left_eye,250
36,1,1752492783832587030,231,left_eye,305
36,1,1752492784172962030,232,left_eye,420
36,1,1752492784628338030,233,nose,175
36,1,1752492797775595030,255,mouth,315
36,1,1752492819525973030,304,mouth,290
36,1,1752492820671973030,306,left_eye,415
36,1,1752492821112473030,307,left_eye,646
36,1,1752492821843098030,308,nose,360
36,1,1752492822478727030,309,left_eye,135
36,1,1752492822633853030,310,left_eye,95
36,1,1752492822753974030,311,left_eye,285
36,1,1752492823049228030,312,left_eye,140
36,1,1752492823269475030,313,mouth,625
36,1,1752492825016099030,316,nose,686
36,1,1752492825721724030,317,left_eye,425
36,1,1752492828369225030,322,nose,220
36,1,1752492828619475030,323,nose,300
36,1,1752492828949733030,324,left_eye,265
36,1,1752492839309222030,349,right_eye,195
36,1,1752492840835721030,351,right_eye,966
36,1,1752492841811596030,352,left_eye,380
36,1,1752492842211970030,353,left_eye,986
36,1,1752492843217845030,354,nose,280
36,1,1752492843528220030,355,nose,796
36,1,1752492844338969030,356,nose,330
36,1,1752492844694344030,357,right_eye,1456
36,1,1752492846180718030,358,nose,290
36,1,1752492846495968030,359,nose,1631
36,1,1752492848162467030,360,left_eye,165
36,1,1752492851720841030,368,nose,105
36,1,1752492851850966030,369,mouth,80
36,1,1752492853627591030,375,right_eye,385
36,1,1752492854052965030,376,mouth,90
36,1,1752492854358340030,377,mouth,490
36,1,1752492883625580030,451,right_eye,320
36,1,1752493398120556030,1773,right_eye,160
36,1,1752493509764810030,2030,right_eye,255
36,1,1752493510060060030,2031,mouth,110
36,1,1752493510185185030,2032,nose,105
36,1,1752493510305310030,2033,mouth,265
36,1,1752493510680570030,2034,mouth,200
36,1,1752493510915810030,2035,right_eye,260
36,1,1752493511211060030,2036,nose,405
36,1,1752493511656560030,2037,right_eye,365
36,1,1752493512066935030,2038,mouth,100
36,1,1752493513473185030,2043,right_eye,80
36,1,1752493513583310030,2044,right_eye,395
36,1,1752493514614310030,2046,right_eye,155
36,1,1752494131820007030,3489,right_eye,295
36,1,1752494584131897030,4618,mouth,145
36,1,1752494584312016030,4619,left_eye,125
36,1,1752494596953895030,4649,mouth,150
36,1,1752494597119022030,4650,left_eye,210
36,1,1752494697067193030,4905,left_eye,130
36,1,1752494772232336030,5095,left_eye,190
09,2,1742396388168520066,299,mouth,215
09,2,1742396455526286066,466,left_eye,245
09,2,1742396723775865066,1220,left_eye,260
09,2,1742396736837996066,1251,left_eye,80
09,2,1742396737243374066,1253,left_eye,220
09,2,1742396817808417066,1477,left_eye,516
09,2,1742397035380543066,2076,right_eye,160
09,2,1742397037087041066,2082,nose,160
09,2,1742397048757924066,2115,nose,155
09,2,1742397048958171066,2116,right_eye,360
09,2,1742397049358546066,2117,mouth,255
09,2,1742397051500547066,2122,nose,285
09,2,1742397052141048066,2124,nose,265
09,2,1742397052446423066,2125,left_eye,911
09,2,1742397053402298066,2126,mouth,445
09,2,1742397055529303066,2131,mouth,215
09,2,1742397055799555066,2132,right_eye,140
09,2,1742397055979675066,2133,left_eye,400
09,2,1742397056480175066,2134,right_eye,510
09,2,1742397057651176066,2136,nose,405
09,2,1742397063391555066,2148,mouth,491
09,2,1742397064187306066,2150,mouth,155
09,2,1742397064372441066,2151,nose,395
09,2,1742397067415308066,2161,mouth,170
09,2,1742397067620558066,2162,nose,320
09,2,1742397077029315066,2184,left_eye,350
