Participant,side-faces fixations,full-faces fixations,matched_fixations,side_prop,full_prop
09,37,295,332,0.11144578313253012,0.8885542168674698
10,0,11,11,0.0,1.0
11,20,89,109,0.1834862385321101,0.8165137614678899
12,12,156,168,0.07142857142857142,0.9285714285714286
13,19,94,113,0.168141592920354,0.831858407079646
14,12,82,94,0.1276595744680851,0.8723404255319149
15,25,113,138,0.18115942028985507,0.8188405797101449
16,21,79,100,0.21,0.79
18,7,22,29,0.2413793103448276,0.7586206896551724
19,3,27,30,0.1,0.9
20,6,44,50,0.12,0.88
21,31,63,94,0.32978723404255317,0.6702127659574468
22,20,131,151,0.13245033112582782,0.8675496688741722
23,16,83,99,0.16161616161616163,0.8383838383838383
24,26,112,138,0.18840579710144928,0.8115942028985508
27,7,44,51,0.13725490196078433,0.8627450980392157
28,26,99,125,0.208,0.792
29,70,164,234,0.29914529914529914,0.7008547008547008
30,16,94,110,0.14545454545454545,0.8545454545454545
32,2,24,26,0.07692307692307693,0.9230769230769231
33,23,42,65,0.35384615384615387,0.6461538461538462
36,21,90,111,0.1891891891891892,0.8108108108108109
