Participant,Recording,Start_Fixation_ID,End_Fixation_ID,Sequence_Length,AOI_Sequence
09,1,536,541,6,"['eye', 'nose', 'eye', 'nose', 'mouth', 'nose']"
09,1,544,561,18,"['mouth', 'eye', 'eye', 'eye', 'mouth', 'eye', 'mouth', 'eye', 'nose', 'eye', 'nose', 'mouth', 'eye', 'mouth', 'eye', 'eye', 'nose', 'nose']"
09,1,563,565,3,"['nose', 'eye', 'eye']"
09,1,569,578,10,"['eye', 'eye', 'eye', 'eye', 'mouth', 'eye', 'eye', 'eye', 'mouth', 'eye']"
09,1,582,588,7,"['eye', 'eye', 'nose', 'eye', 'eye', 'eye', 'eye']"
09,1,599,605,7,"['nose', 'mouth', 'eye', 'eye', 'mouth', 'mouth', 'eye']"
09,1,608,611,4,"['mouth', 'eye', 'mouth', 'eye']"
09,1,614,618,5,"['nose', 'mouth', 'mouth', 'mouth', 'nose']"
09,1,621,622,2,"['nose', 'mouth']"
09,1,624,627,4,"['nose', 'nose', 'nose', 'nose']"
09,1,639,647,9,"['eye', 'mouth', 'mouth', 'eye', 'eye', 'nose', 'nose', 'eye', 'eye']"
09,1,650,655,6,"['eye', 'eye', 'eye', 'eye', 'eye', 'mouth']"
09,1,2584,2588,5,"['eye', 'eye', 'nose', 'eye', 'nose']"
09,1,2673,2675,3,"['mouth', 'nose', 'mouth']"
09,1,2679,2683,5,"['eye', 'mouth', 'mouth', 'eye', 'eye']"
09,1,2744,2747,4,"['eye', 'nose', 'eye', 'nose']"
09,1,2760,2762,3,"['nose', 'eye', 'eye']"
09,1,2807,2808,2,"['eye', 'mouth']"
09,1,2822,2823,2,"['nose', 'eye']"
09,1,2831,2833,3,"['eye', 'eye', 'nose']"
09,1,2888,2889,2,"['nose', 'mouth']"
09,1,2948,2949,2,"['nose', 'eye']"
09,1,4647,4648,2,"['mouth', 'nose']"
09,1,4666,4667,2,"['mouth', 'mouth']"
09,1,4673,4674,2,"['mouth', 'nose']"
09,1,4719,4720,2,"['nose', 'nose']"
09,1,4787,4788,2,"['eye', 'nose']"
09,1,4796,4798,3,"['nose', 'eye', 'eye']"
09,1,4800,4802,3,"['eye', 'nose', 'nose']"
09,1,6472,6474,3,"['nose', 'mouth', 'nose']"
09,1,6528,6530,3,"['mouth', 'mouth', 'nose']"
09,2,2115,2117,3,"['nose', 'eye', 'mouth']"
09,2,2124,2126,3,"['nose', 'eye', 'mouth']"
09,2,2131,2134,4,"['mouth', 'eye', 'eye', 'eye']"
09,2,2150,2151,2,"['mouth', 'nose']"
09,2,2161,2162,2,"['mouth', 'nose']"
09,2,2184,2186,3,"['eye', 'eye', 'eye']"
09,2,3880,3884,5,"['eye', 'eye', 'eye', 'eye', 'mouth']"
09,2,3891,3894,4,"['mouth', 'nose', 'nose', 'eye']"
09,2,3935,3936,2,"['nose', 'nose']"
09,2,3966,3967,2,"['eye', 'eye']"
